Package,Version,Source
base64enc,0.1-6,CRAN
BiocManager,1.30.27,CRAN
caret,7.0-1,CRAN
digest,0.6.39,CRAN
doParallel,1.0.17,CRAN
dplyr,1.2.0,CRAN
DT,0.34.0,CRAN
foreach,1.5.2,CRAN
ggplot2,4.0.2,CRAN
httpuv,1.6.16,CRAN
jpeg,0.1-11,CRAN
jsonlite,2.0.0,CRAN
matrixStats,1.5.0,CRAN
MLmetrics,1.1.3,CRAN
mongolite,4.0.0,CRAN
plotly,4.12.0,CRAN
png,0.1-8,CRAN
pROC,1.19.0.1,CRAN
processx,3.8.6,CRAN
ranger,0.18.0,CRAN
RColorBrewer,1.1-3,CRAN
scales,1.4.0,CRAN
shiny,1.12.1,CRAN
shinyjs,2.1.1,CRAN
sp,2.2-0,CRAN
BiocParallel,1.40.2,Bioconductor
Cardinal,3.8.3,Bioconductor
CardinalIO,1.4.0,Bioconductor
vsclust,1.8.0,Bioconductor
